,time,err
0,55229.273,0.11532099
1,55239.324,0.025377164
2,55240.344,0.0141012985
3,55241.277,0.011047752
4,55242.285,0.010471438
5,55244.223,0.050478987
6,55246.215,0.053587113
7,55250.12,0.15807803
8,55251.137,0.14519006
9,55267.156,0.039573684
10,55268.227,0.032906864
11,55270.164,0.037289444
12,55271.266,0.055252556
13,55272.336,0.09808434
14,55274.203,0.07147285
15,55276.184,0.046022706
16,55284.242,0.12066833
17,55286.15,0.075533986
18,55289.176,0.04430551
19,55290.28,0.049789213
20,55293.195,0.059802208
21,55294.266,0.058869846
22,55296.164,0.04285509
23,55297.246,0.054827705
24,55302.312,0.04944326
25,55303.23,0.024459556
26,55311.156,0.15910478
27,55312.195,0.15503772
28,55314.176,0.11177589
29,55317.164,0.07312796
30,55318.176,0.07215739
31,55320.176,0.05016421
32,55322.184,0.060287
33,55329.184,0.096886076
34,55330.176,0.06375075
35,55331.188,0.062698804
36,55332.188,0.058023825
37,55333.188,0.051777028
38,55513.383,0.09191927
39,55516.406,0.07540787
40,55537.3,0.07777946
41,55538.44,0.023445245
42,55539.52,0.039348178
43,55541.484,0.10717249
44,55542.52,0.06203262
45,55543.49,0.0940595
46,55544.523,0.045663115
47,55557.47,0.047902748
48,55558.332,0.03740044
49,55561.39,0.031829126
50,55573.438,0.029527467
51,55574.39,0.021099206
52,55575.367,0.029095756
53,55576.473,0.12377291
54,55577.363,0.090251826
55,55578.477,0.16406351
56,55579.4,0.06701358
57,55584.32,0.06125091
58,55585.336,0.038485404
59,55586.316,0.027546551
60,55587.36,0.035822265
61,55588.316,0.05863376
62,55589.348,0.030417774
63,55590.336,0.02541894
64,55591.316,0.03028731
65,55593.4,0.034613308
66,55594.25,0.06598817
67,55601.195,0.10186674
68,55666.188,0.13117762
69,55668.164,0.13374989
70,55868.504,0.14604661
71,55874.54,0.09865866
72,55905.535,0.17108828
73,55916.457,0.101420015
74,55918.418,0.1720261
75,55922.43,0.08556137
76,55923.5,0.13804168
77,55924.43,0.09398314
78,55925.406,0.10045748
79,55926.445,0.13256139
80,55928.48,0.17603557
81,55929.406,0.07633134
